"fraction","Papain 2W1S/Papain 2W1S (Teal-)","Papain 2W1S/Papain 2W1S (Teal-)","Papain 2W1S/Papain 2W1S (Teal-)","Papain only/Papain 2W1S (Teal-)","Papain only/Papain 2W1S (Teal-)","Papain only/Papain 2W1S (Teal-)","Papain 2W1S/Papain only (Teal-)","Papain 2W1S/Papain only (Teal-)","Papain 2W1S/Papain only (Teal-)","Papain 2W1S/Papain 2W1S (Teal+)","Papain 2W1S/Papain 2W1S (Teal+)","Papain 2W1S/Papain 2W1S (Teal+)","Papain only/Papain 2W1S (Teal+)","Papain only/Papain 2W1S (Teal+)","Papain only/Papain 2W1S (Teal+)","Papain 2W1S/Papain only (Teal+)","Papain 2W1S/Papain only (Teal+)","Papain 2W1S/Papain only (Teal+)"
"IL-13+",1.46,0.839,1.12,1.11,1.02,0.694,0.996,0.494,0.549,14.9,10.2,7.95,9.62,10.8,6.65,7.1,4.41,5.95
"Foxp3+",4,4.04,4.42,4,4.16,2.89,2.8,3.61,4.24,19.1,20,20.9,27.2,33.6,19.8,16.7,27.6,29.2
