"fraction","Papain 2W1S/Papain 2W1S (Teal-)","Papain 2W1S/Papain 2W1S (Teal-)","Papain 2W1S/Papain 2W1S (Teal-)","Papain only/Papain 2W1S (Teal-)","Papain only/Papain 2W1S (Teal-)","Papain only/Papain 2W1S (Teal-)","Papain 2W1S/Papain only (Teal-)","Papain 2W1S/Papain only (Teal-)","Papain 2W1S/Papain only (Teal-)","Papain 2W1S/Papain 2W1S (Teal+)","Papain 2W1S/Papain 2W1S (Teal+)","Papain 2W1S/Papain 2W1S (Teal+)","Papain only/Papain 2W1S (Teal+)","Papain only/Papain 2W1S (Teal+)","Papain only/Papain 2W1S (Teal+)","Papain 2W1S/Papain only (Teal+)","Papain 2W1S/Papain only (Teal+)","Papain 2W1S/Papain only (Teal+)"
"IL-13+",34.1,4.76,9.33,0,5.13,0,6.45,18.9,3.45,37.2,22.5,8.18,43.1,37.7,42.9,33.3,22.7,33.7
"Foxp3+",2.44,16.7,21.3,10.3,5.13,0,6.45,8.11,6.9,7.37,27.9,25.5,16.7,17.4,16.1,11.6,18.2,12.8
