"","nGene","nUMI","orig.ident","study_accession_number","total_reads","lane","sample_supplier_name","plate.number","well.position","number.of.cells","exp","treatment","days.after.infection","mouse.number","genotype","tissue","cell.type.1","state","rora","pool","num_processed","num_mapped","percent_mapped","global_fl_mode","robust_fl_mode","total_counts","nGenes","percent.mito","NK","doublet","exon4","exon4_rel","exon4_pos","Rora_exprs","Rora_exprs_pos","Cd4_exprs_pos","Sell_exprs_pos","is_lung","is_spleen","is_MedLN","is_MesLN","res.0.5","ident","inferred_celltype"
"22719_3#12",2639,188166.073001237,NA,"ERP022989",925698,3,"Th nipo_1183_1",1183,"a2",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,462813,292876,63.2817142128678,91,100,188166.073001237,2639,0.0128292942970337,0,0,0,0,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"6","KO","Macrophage"
"22719_3#120",1663,107389.001803988,NA,"ERP022989",767888,3,"Th nipo_1181_61",1181,"f2",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,383926,195593,50.9454947047087,1000,104,107389.001803988,1663,0.0577731601540003,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#123",2339,169252.990216192,NA,"ERP022989",1102222,3,"Th nipo_1181_64",1181,"f5",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,551061,316395,57.4156037171928,1000,101,169252.990216192,2339,0.0324968271046463,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#127",4330,56175.6698538747,NA,"ERP022989",802090,3,"Th nipo_1181_68",1181,"f9",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,401007,197042,49.1367981107562,133,133,56175.6698538746,4330,0.0170755316142232,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#13",2680,228869.002622694,NA,"ERP022989",1575932,3,"Th nipo_1183_2",1183,"a3",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,787915,435558,55.279820792852,1000,328,228869.002622694,2680,0.0314400855319911,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#131",2862,141433.999141826,NA,"ERP022989",1080920,3,"Th nipo_1183_60",1183,"f1",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,540410,254334,47.0631557521141,1000,102,141433.999141826,2862,0.0110872381429838,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#132",2757,145804.007309142,NA,"ERP022989",942154,3,"Th nipo_1183_61",1183,"f2",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,471044,257190,54.5999949049346,1000,102,145804.007309142,2757,0.0621927318319352,0,0,0,0,FALSE,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#133",2874,155257.003752452,NA,"ERP022989",1271398,3,"Th nipo_1183_62",1183,"f3",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,635644,325482,51.2050770557104,1000,103,155257.003752452,2874,0.0365259761104448,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#134",2269,182106.993824009,NA,"ERP022989",1253194,3,"Th nipo_1183_63",1183,"f4",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,626537,339421,54.1741349672884,1000,103,182106.993824009,2269,0.0362286113315116,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#135",2214,168537.845445427,NA,"ERP022989",1280610,3,"Th nipo_1183_64",1183,"f5",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,640266,360266,56.2681760393337,1000,103,168537.845445427,2214,0.0416794747876054,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#136",2112,167515.979501172,NA,"ERP022989",1149848,3,"Th nipo_1183_65",1183,"f6",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,574886,300062,52.1950438869619,1000,103,167515.979501172,2112,0.0423563780372627,0,0,1,0.693147180559945,TRUE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#137",1950,198553.007748965,NA,"ERP022989",1403230,3,"Th nipo_1183_66",1183,"f7",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,701572,431079,61.4447269845433,1000,178,198553.007748965,1950,0.0975263799805167,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#138",2347,167511.017131882,NA,"ERP022989",1156296,3,"Th nipo_1183_67",1183,"f8",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,578103,295721,51.1536871457162,1000,102,167511.017131882,2347,0.0740357482889382,0,0,0,0,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#139",2200,216683.754391601,NA,"ERP022989",1206322,3,"Th nipo_1183_68",1183,"f9",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,603117,369690,61.296564348211,91,100,216683.754391601,2200,0.0348893643346528,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#14",2459,144940.012329411,NA,"ERP022989",1132890,3,"Th nipo_1183_3",1183,"a4",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,566387,318091,56.161423196507,1000,102,144940.012329411,2459,0.0370397505403733,0,0,0,0,FALSE,0.945647,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#140",2302,196396.983394327,NA,"ERP022989",1461658,3,"Th nipo_1183_69",1183,"f10",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,730780,394919,54.0407509784066,1000,103,196396.983394327,2302,0.0384326032383348,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#141",2097,241892.970894806,NA,"ERP022989",1576790,3,"Th nipo_1183_70",1183,"f11",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,788329,472289,59.9101390409334,1000,201,241892.970894806,2097,0.0370834298102459,0,0,NA,NA,NA,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#142",2003,114886.983913693,NA,"ERP022989",771176,3,"Th nipo_1183_71",1183,"f12",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,385561,202271,52.4614782096737,1000,128,114886.983913693,2003,0.0290526993249945,0,0,0,0,FALSE,81,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#143",2458,122699.988223624,NA,"ERP022989",806292,3,"Th nipo_1181_72",1181,"g1",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,403119,187067,46.40490773196,1000,108,122699.988223624,2458,0.0432508109970482,0,0,0,0,FALSE,158.924,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#144",2272,78960.6616509162,NA,"ERP022989",735048,3,"Th nipo_1181_73",1181,"g2",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,367492,177572,48.3199634277753,74,105,78960.6616509162,2272,0.0376653378760725,0,0,0,0,FALSE,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#145",2606,177604.007370616,NA,"ERP022989",1191120,3,"Th nipo_1181_74",1181,"g3",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,595513,283452,47.5979533612197,1000,102,177604.007370616,2606,0.0677727095846005,0,0,0,0,FALSE,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#146",1595,121589.526071765,NA,"ERP022989",1384360,3,"Th nipo_1181_75",1181,"g4",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,692130,461874,66.7322612803953,73,102,121589.526071765,1595,0.0374806583859058,0,0,0,0,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#148",2499,132337.995510484,NA,"ERP022989",900720,3,"Th nipo_1181_77",1181,"g6",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,450324,234367,52.0440838152086,1000,102,132337.995510484,2499,0.0201584321245719,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#15",2469,173629.994564365,NA,"ERP022989",1174036,3,"Th nipo_1183_4",1183,"a5",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,586975,294059,50.0973636015163,1000,133,173629.994564365,2469,0.0377430640163424,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#152",1577,145734.454629803,NA,"ERP022989",1443442,3,"Th nipo_1181_81",1181,"g10",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,721666,438494,60.7613494331173,102,102,145734.454629803,1577,0.0283291724698005,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#153",1589,27403.9878246647,NA,"ERP022989",1036798,3,"Th nipo_1181_82",1181,"g11",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,518352,355687,68.6188150137358,136,136,27403.9878246647,1589,0.0220401007752743,0,0,0,0,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#155",3076,108635.376874943,NA,"ERP022989",709958,3,"Th nipo_1183_72",1183,"g1",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,354948,145383,40.9589573684033,1000,243,108635.376874944,3076,0.0456011582923666,0,0,0,0,FALSE,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#156",2544,130809.997175594,NA,"ERP022989",869704,3,"Th nipo_1183_73",1183,"g2",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,434817,204912,47.1260323308426,1000,100,130809.997175594,2544,0.0318762490278379,0,0,0,0,FALSE,520,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#157",2504,238411.007232305,NA,"ERP022989",1527670,3,"Th nipo_1183_74",1183,"g3",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,763779,404124,52.9111169592251,1000,192,238411.007232305,2504,0.0293460821344661,0,0,0,0,FALSE,382,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#159",2304,165266.015217888,NA,"ERP022989",1149136,3,"Th nipo_1183_76",1183,"g5",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,574522,303299,52.7915380089883,1000,103,165266.015217888,2304,0.0812271185476431,0,0,0,0,FALSE,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#16",2636,185862.003349383,NA,"ERP022989",1475412,3,"Th nipo_1183_5",1183,"a6",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,737644,411148,55.7379982755909,1000,103,185862.003349383,2636,0.0561030954954347,0,0,0,0,FALSE,393,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#160",1919,162613.002186511,NA,"ERP022989",1291650,3,"Th nipo_1183_77",1183,"g6",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,645788,345425,53.4889158671267,1000,103,162613.002186511,1919,0.0350260983034263,0,0,1,0.693147180559945,TRUE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#161",2446,176977.00063256,NA,"ERP022989",1333764,3,"Th nipo_1183_78",1183,"g7",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,666838,398061,59.6938086911664,1000,108,176977.00063256,2446,0.0515529078207319,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#162",2227,187325.009884764,NA,"ERP022989",1283616,3,"Th nipo_1183_79",1183,"g8",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,641772,379351,59.1099331226666,1000,102,187325.009884764,2227,0.0605056941781156,0,0,0,0,FALSE,273,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
