Cell,Gene,Ct,Call
0-4,ACTN1,999,Fail
0-4,CCR2,999,Fail
0-4,CD33,999,Fail
0-4,CD8A,999,Fail
0-4,EIF2B1,999,Fail
0-4,HBB_B2,999,Fail
0-4,IL13,999,Fail
0-4,IL1RL1_R,999,Fail
0-4,JHM1D,999,Fail
0-4,POU6F1,999,Fail
0-4,SCML4,999,Fail
0-4,TRIB2,999,Fail
0-4,AHR,999,Fail
0-4,CCR5,999,Fail
0-4,CD3E,999,Fail
0-4,CDH17,999,Fail
0-4,EPAS1,999,Fail
0-4,HLX,999,Fail
0-4,IL13RA1,999,Fail
0-4,IL4,999,Fail
0-4,KLRG1,999,Fail
0-4,PPARG,999,Fail
0-4,IL1RL1,999,Fail
0-4,TXK,999,Fail
0-4,ASB2,999,Fail
0-4,CCR8,999,Fail
0-4,CD4,999,Fail
0-4,CTLA4,999,Fail
0-4,FGF18,999,Fail
0-4,HPRT1,999,Fail
0-4,IL17A,999,Fail
0-4,IL4R,999,Fail
0-4,MSC,999,Fail
0-4,PRDM1,999,Fail
0-4,SMAD7,999,Fail
0-4,UBC,999,Fail
0-4,ATF3,999,Fail
0-4,KIT,999,Fail
0-4,CD44,999,Fail
0-4,CXCR3,999,Fail
0-4,FOXP1,999,Fail
0-4,ICOS,999,Fail
0-4,IL2,999,Fail
0-4,IL5,999,Fail
0-4,MYB,999,Fail
0-4,PTGIR,999,Fail
0-4,TBX21,999,Fail
0-4,VDR,20.95455375,Pass
0-4,IFNG,999,Fail
0-4,FOXP3,999,Fail
0-4,CXCR5,999,Fail
0-4,PTPRC,999,Fail
0-4,ITGAM,999,Fail
0-4,ATP5A1,999,Fail
0-4,VIPR1,999,Fail
0-4,TCF7,999,Fail
0-4,PTH,999,Fail
0-4,MYCN,999,Fail
0-4,IL6,999,Fail
0-4,IL21,999,Fail
0-4,IFNGR1,999,Fail
0-4,FSHB,999,Fail
0-4,CXCR6,999,Fail
0-4,NCAM1,999,Fail
0-4,ITGAX,999,Fail
0-4,BATF,999,Fail
0-4,ZBTB16,999,Fail
0-4,TCFEC,999,Fail
0-4,RORA,999,Fail
0-4,NCF1,999,Fail
0-4,IL7R,999,Fail
0-4,IL23R,999,Fail
0-4,IL10,999,Fail
0-4,GATA2,999,Fail
0-4,CYP11A1,999,Fail
0-4,SELL,999,Fail
0-4,CD19,999,Fail
0-4,BCL2L11,999,Fail
0-4,ZC3H12C,999,Fail
0-4,TG,999,Fail
0-4,RORC,999,Fail
0-4,PHF1,999,Fail
0-4,IL9,999,Fail
0-4,IL25R,999,Fail
0-4,IL12RB2,999,Fail
0-4,GATA3,999,Fail
0-4,E2F8,999,Fail
0-4,CD69,999,Fail
0-4,IL2RA,999,Fail
0-4,BCL2,999,Fail
0-4,ZFP36,999,Fail
0-4,TGFB1,999,Fail
0-4,RUNX3,999,Fail
0-4,POLR2A,999,Fail
0-4,IRF8,999,Fail
0-4,IL27RA,999,Fail
D0_M1_mes_17_ac,ACTN1,999,Fail
D0_M1_mes_17_ac,CCR2,999,Fail
D0_M1_mes_17_ac,CD33,999,Fail
D0_M1_mes_17_ac,CD8A,999,Fail
D0_M1_mes_17_ac,EIF2B1,999,Fail
D0_M1_mes_17_ac,HBB_B2,999,Fail
D0_M1_mes_17_ac,IL13,999,Fail
D0_M1_mes_17_ac,IL1RL1_R,999,Fail
D0_M1_mes_17_ac,JHM1D,26.12492925,Pass
D0_M1_mes_17_ac,POU6F1,23.65135434,Pass
D0_M1_mes_17_ac,SCML4,999,Fail
D0_M1_mes_17_ac,TRIB2,999,Fail
D0_M1_mes_17_ac,AHR,999,Fail
D0_M1_mes_17_ac,CCR5,999,Fail
D0_M1_mes_17_ac,CD3E,23.38802642,Pass
D0_M1_mes_17_ac,CDH17,999,Fail
D0_M1_mes_17_ac,EPAS1,999,Fail
D0_M1_mes_17_ac,HLX,999,Fail
D0_M1_mes_17_ac,IL13RA1,999,Fail
D0_M1_mes_17_ac,IL4,999,Fail
D0_M1_mes_17_ac,KLRG1,999,Fail
D0_M1_mes_17_ac,PPARG,999,Fail
D0_M1_mes_17_ac,IL1RL1,999,Fail
D0_M1_mes_17_ac,TXK,999,Fail
D0_M1_mes_17_ac,ASB2,999,Fail
D0_M1_mes_17_ac,CCR8,23.45168393,Pass
D0_M1_mes_17_ac,CD4,22.43084772,Pass
D0_M1_mes_17_ac,CTLA4,19.61386595,Pass
D0_M1_mes_17_ac,FGF18,999,Fail
D0_M1_mes_17_ac,HPRT1,21.08130229,Pass
D0_M1_mes_17_ac,IL17A,999,Fail
D0_M1_mes_17_ac,IL4R,999,Fail
D0_M1_mes_17_ac,MSC,999,Fail
D0_M1_mes_17_ac,PRDM1,999,Fail
D0_M1_mes_17_ac,SMAD7,999,Fail
D0_M1_mes_17_ac,UBC,22.08635597,Pass
D0_M1_mes_17_ac,ATF3,999,Fail
D0_M1_mes_17_ac,KIT,999,Fail
D0_M1_mes_17_ac,CD44,21.94330921,Pass
D0_M1_mes_17_ac,CXCR3,21.18701944,Pass
D0_M1_mes_17_ac,FOXP1,24.43252067,Pass
D0_M1_mes_17_ac,ICOS,23.45554898,Pass
D0_M1_mes_17_ac,IL2,999,Fail
D0_M1_mes_17_ac,IL5,999,Fail
D0_M1_mes_17_ac,MYB,999,Fail
D0_M1_mes_17_ac,PTGIR,999,Fail
D0_M1_mes_17_ac,TBX21,999,Fail
D0_M1_mes_17_ac,VDR,23.14350118,Pass
D0_M1_mes_17_ac,IFNG,999,Fail
D0_M1_mes_17_ac,FOXP3,18.66258713,Pass
D0_M1_mes_17_ac,CXCR5,24.45539604,Pass
