Cell,Gene,Ct,Call
D0_M3_l_1_nu,CCR5,999,Fail
D0_M3_l_1_nu,CD3E,999,Fail
D0_M3_l_1_nu,CDH17,999,Fail
D0_M3_l_1_nu,EPAS1,999,Fail
D0_M3_l_1_nu,HLX,999,Fail
D0_M3_l_1_nu,IL13RA1,999,Fail
D0_M3_l_1_nu,IL4,999,Fail
D0_M3_l_1_nu,KLRG1,999,Fail
D0_M3_l_1_nu,PPARG,999,Fail
D0_M3_l_1_nu,IL1RL1,999,Fail
D0_M3_l_1_nu,TXK,999,Fail
D0_M3_l_1_nu,ASB2,999,Fail
D0_M3_l_1_nu,CCR8,999,Fail
D0_M3_l_1_nu,CD4,999,Fail
D0_M3_l_1_nu,CTLA4,999,Fail
D0_M3_l_1_nu,FGF18,999,Fail
D0_M3_l_1_nu,HPRT1,999,Fail
D0_M3_l_1_nu,IL17A,999,Fail
D0_M3_l_1_nu,IL4R,999,Fail
D0_M3_l_1_nu,MSC,999,Fail
D0_M3_l_1_nu,PRDM1,999,Fail
D0_M3_l_1_nu,SMAD7,999,Fail
D0_M3_l_1_nu,UBC,999,Fail
D0_M3_l_1_nu,ATF3,999,Fail
D0_M3_l_1_nu,KIT,999,Fail
D0_M3_l_1_nu,CD44,999,Fail
D0_M3_l_1_nu,CXCR3,999,Fail
D0_M3_l_1_nu,FOXP1,999,Fail
D0_M3_l_1_nu,ICOS,999,Fail
D0_M3_l_1_nu,IL2,999,Fail
D0_M3_l_1_nu,IL5,999,Fail
D0_M3_l_1_nu,MYB,999,Fail
D0_M3_l_1_nu,PTGIR,999,Fail
D0_M3_l_1_nu,TBX21,999,Fail
D0_M3_l_1_nu,VDR,18.98226187,Pass
D0_M3_l_1_nu,IFNG,999,Fail
D0_M3_l_1_nu,FOXP3,999,Fail
D0_M3_l_1_nu,CXCR5,999,Fail
D0_M3_l_1_nu,PTPRC,999,Fail
D0_M3_l_1_nu,ITGAM,999,Fail
D0_M3_l_1_nu,ATP5A1,999,Fail
D0_M3_l_1_nu,VIPR1,999,Fail
D0_M3_l_1_nu,TCF7,999,Fail
D0_M3_l_1_nu,PTH,999,Fail
D0_M3_l_1_nu,MYCN,999,Fail
D0_M3_l_1_nu,IL6,999,Fail
D0_M3_l_1_nu,IL21,999,Fail
D0_M3_l_1_nu,IFNGR1,999,Fail
D0_M3_l_1_nu,FSHB,999,Fail
D0_M3_l_1_nu,CXCR6,999,Fail
D0_M3_l_1_nu,NCAM1,999,Fail
D0_M3_l_1_nu,SELL,999,Fail
D0_M3_l_1_nu,ITGAX,999,Fail
D0_M3_l_1_nu,ZBTB16,999,Fail
D0_M3_l_1_nu,TCFEC,999,Fail
D0_M3_l_1_nu,RORA,999,Fail
D0_M3_l_1_nu,NCF1,999,Fail
D0_M3_l_1_nu,IL7R,999,Fail
D0_M3_l_1_nu,IL23R,999,Fail
D0_M3_l_1_nu,IL10,999,Fail
D0_M3_l_1_nu,CD69,999,Fail
D0_M3_l_1_nu,GATA2,17.62182231,Pass
D0_M3_l_1_nu,CYP11A1,999,Fail
D0_M3_l_1_nu,BATF,999,Fail
D0_M3_l_1_nu,BCL2L11,999,Fail
D0_M3_l_1_nu,ZC3H12C,999,Fail
D0_M3_l_1_nu,TG,999,Fail
D0_M3_l_1_nu,RORC,999,Fail
D0_M3_l_1_nu,PHF1,999,Fail
D0_M3_l_1_nu,IL9,999,Fail
D0_M3_l_1_nu,IL25R,999,Fail
D0_M3_l_1_nu,GATA3,999,Fail
D0_M3_l_1_nu,IL27RA,999,Fail
D0_M3_l_1_nu,E2F8,999,Fail
D0_M3_l_1_nu,CD19,999,Fail
D0_M3_l_1_nu,IL2RA,999,Fail
D0_M3_l_1_nu,BCL2,999,Fail
D0_M3_l_1_nu,ZFP36,26.3166569,Pass
D0_M3_l_1_nu,TGFB1,999,Fail
D0_M3_l_1_nu,RUNX3,999,Fail
D0_M3_l_1_nu,POLR2A,999,Fail
D0_M3_l_1_nu,IRF8,999,Fail
D0_M3_l_1_nu,IL12RB2,999,Fail
0-30,ACTN1,999,Fail
0-30,CCR2,999,Fail
0-30,CD33,999,Fail
0-30,CD8A,999,Fail
0-30,EIF2B1,999,Fail
0-30,HBB_B2,999,Fail
0-30,IL13,999,Fail
0-30,IL1RL1_R,999,Fail
0-30,JHM1D,999,Fail
0-30,POU6F1,20.49514274,Fail
0-30,SCML4,999,Fail
0-30,TRIB2,999,Fail
0-30,AHR,999,Fail
0-30,CCR5,999,Fail
0-30,CD3E,999,Fail
0-30,CDH17,999,Fail
0-30,EPAS1,999,Fail
0-30,HLX,999,Fail
0-30,IL13RA1,999,Fail
0-30,IL4,999,Fail
0-30,KLRG1,999,Fail
0-30,PPARG,999,Fail
0-30,IL1RL1,999,Fail
0-30,TXK,999,Fail
0-30,ASB2,999,Fail
0-30,CCR8,999,Fail
0-30,CD4,999,Fail
0-30,CTLA4,999,Fail
0-30,FGF18,999,Fail
0-30,HPRT1,999,Fail
0-30,IL17A,999,Fail
0-30,IL4R,999,Fail
0-30,MSC,999,Fail
0-30,PRDM1,999,Fail
0-30,SMAD7,999,Fail
0-30,UBC,999,Fail
0-30,ATF3,999,Fail
0-30,KIT,999,Fail
0-30,CD44,999,Fail
0-30,CXCR3,999,Fail
0-30,FOXP1,999,Fail
0-30,ICOS,999,Fail
0-30,IL2,999,Fail
0-30,IL5,999,Fail
0-30,MYB,999,Fail
0-30,PTGIR,999,Fail
0-30,TBX21,999,Fail
0-30,VDR,999,Fail
0-30,IFNG,999,Fail
0-30,FOXP3,999,Fail
0-30,CXCR5,999,Fail
0-30,PTPRC,999,Fail
0-30,ITGAM,999,Fail
0-30,ATP5A1,999,Fail
0-30,VIPR1,999,Fail
0-30,TCF7,999,Fail
0-30,PTH,999,Fail
0-30,MYCN,999,Fail
0-30,IL6,999,Fail
0-30,IL21,999,Fail
0-30,IFNGR1,999,Fail
0-30,FSHB,999,Fail
0-30,CXCR6,999,Fail
0-30,NCAM1,999,Fail
0-30,SELL,999,Fail
0-30,ITGAX,999,Fail
0-30,ZBTB16,999,Fail
0-30,TCFEC,999,Fail
0-30,RORA,999,Fail
0-30,NCF1,999,Fail
0-30,IL7R,999,Fail
0-30,IL23R,999,Fail
0-30,IL10,999,Fail
0-30,CD69,999,Fail
0-30,GATA2,16.76223417,Pass
0-30,CYP11A1,999,Fail
0-30,BATF,20.58862956,Pass
0-30,BCL2L11,999,Fail
0-30,ZC3H12C,999,Fail
0-30,TG,999,Fail
0-30,RORC,20.38319584,Pass
0-30,PHF1,999,Fail
0-30,IL9,999,Fail
0-30,IL25R,999,Fail
0-30,GATA3,999,Fail
0-30,IL27RA,999,Fail
0-30,E2F8,999,Fail
0-30,CD19,999,Fail
0-30,IL2RA,999,Fail
0-30,BCL2,999,Fail
0-30,ZFP36,999,Fail
0-30,TGFB1,999,Fail
0-30,RUNX3,999,Fail
0-30,POLR2A,999,Fail
0-30,IRF8,999,Fail
0-30,IL12RB2,999,Fail
0-32,ACTN1,999,Fail
0-32,CCR2,999,Fail
0-32,CD33,999,Fail
0-32,CD8A,999,Fail
0-32,EIF2B1,999,Fail
0-32,HBB_B2,999,Fail
0-32,IL13,999,Fail
0-32,IL1RL1_R,999,Fail
0-32,JHM1D,999,Fail
0-32,POU6F1,19.06079477,Fail
0-32,SCML4,999,Fail
0-32,TRIB2,999,Fail
0-32,AHR,999,Fail
0-32,CCR5,999,Fail
0-32,CD3E,999,Fail
0-32,CDH17,999,Fail
0-32,EPAS1,999,Fail
0-32,HLX,999,Fail
0-32,IL13RA1,999,Fail
0-32,IL4,999,Fail
0-32,KLRG1,999,Fail
0-32,PPARG,999,Fail
0-32,IL1RL1,999,Fail
0-32,TXK,999,Fail
0-32,ASB2,16.13137534,Pass
0-32,CCR8,999,Fail
0-32,CD4,999,Fail
0-32,CTLA4,999,Fail
0-32,FGF18,999,Fail
0-32,HPRT1,999,Fail
0-32,IL17A,999,Fail
0-32,IL4R,999,Fail
0-32,MSC,18.07867788,Pass
0-32,PRDM1,999,Fail
0-32,SMAD7,999,Fail
0-32,UBC,999,Fail
0-32,ATF3,999,Fail
0-32,KIT,999,Fail
0-32,CD44,999,Fail
0-32,CXCR3,999,Fail
0-32,FOXP1,999,Fail
0-32,ICOS,999,Fail
0-32,IL2,999,Fail
0-32,IL5,999,Fail
0-32,MYB,999,Fail
0-32,PTGIR,999,Fail
0-32,TBX21,999,Fail
0-32,VDR,999,Fail
0-32,IFNG,999,Fail
0-32,FOXP3,999,Fail
0-32,CXCR5,999,Fail
0-32,PTPRC,999,Fail
0-32,ITGAM,999,Fail
0-32,ATP5A1,999,Fail
0-32,VIPR1,999,Fail
0-32,TCF7,999,Fail
0-32,PTH,999,Fail
0-32,MYCN,999,Fail
0-32,IL6,999,Fail
0-32,IL21,999,Fail
0-32,IFNGR1,999,Fail
0-32,FSHB,999,Fail
0-32,CXCR6,999,Fail
0-32,NCAM1,999,Fail
0-32,SELL,999,Fail
0-32,ITGAX,999,Fail
0-32,ZBTB16,999,Fail
0-32,TCFEC,999,Fail
0-32,RORA,999,Fail
0-32,NCF1,999,Fail
0-32,IL7R,999,Fail
0-32,IL23R,999,Fail
0-32,IL10,999,Fail
0-32,CD69,999,Fail
0-32,GATA2,14.00570003,Pass
0-32,CYP11A1,999,Fail
0-32,BATF,999,Fail
0-32,BCL2L11,999,Fail
0-32,ZC3H12C,999,Fail
0-32,TG,999,Fail
0-32,RORC,999,Fail
0-32,PHF1,999,Fail
0-32,IL9,999,Fail
0-32,IL25R,999,Fail
0-32,GATA3,15.76807522,Pass
0-32,IL27RA,999,Fail
0-32,E2F8,999,Fail
0-32,CD19,999,Fail
0-32,IL2RA,999,Fail
0-32,BCL2,17.92304287,Pass
0-32,ZFP36,999,Fail
0-32,TGFB1,999,Fail
0-32,RUNX3,999,Fail
0-32,POLR2A,999,Fail
0-32,IRF8,999,Fail
0-32,IL12RB2,999,Fail
D0_M3_mes_16_nv,ACTN1,999,Fail
D0_M3_mes_16_nv,CCR2,999,Fail
D0_M3_mes_16_nv,CD33,999,Fail
D0_M3_mes_16_nv,CD8A,999,Fail
D0_M3_mes_16_nv,EIF2B1,999,Fail
D0_M3_mes_16_nv,HBB_B2,999,Fail
D0_M3_mes_16_nv,IL13,999,Fail
D0_M3_mes_16_nv,IL1RL1_R,999,Fail
D0_M3_mes_16_nv,JHM1D,20.78840008,Pass
D0_M3_mes_16_nv,POU6F1,20.89336925,Pass
D0_M3_mes_16_nv,SCML4,19.07484213,Pass
D0_M3_mes_16_nv,TRIB2,999,Fail
D0_M3_mes_16_nv,AHR,999,Fail
D0_M3_mes_16_nv,CCR5,999,Fail
D0_M3_mes_16_nv,CD3E,18.89406793,Pass
D0_M3_mes_16_nv,CDH17,999,Fail
D0_M3_mes_16_nv,EPAS1,19.6145336,Pass
D0_M3_mes_16_nv,HLX,999,Fail
D0_M3_mes_16_nv,IL13RA1,999,Fail
D0_M3_mes_16_nv,IL4,999,Fail
D0_M3_mes_16_nv,KLRG1,999,Fail
D0_M3_mes_16_nv,PPARG,999,Fail
D0_M3_mes_16_nv,IL1RL1,999,Fail
D0_M3_mes_16_nv,TXK,999,Fail
D0_M3_mes_16_nv,ASB2,999,Fail
D0_M3_mes_16_nv,CCR8,999,Fail
D0_M3_mes_16_nv,CD4,18.8109162,Pass
D0_M3_mes_16_nv,CTLA4,999,Fail
D0_M3_mes_16_nv,FGF18,999,Fail
D0_M3_mes_16_nv,HPRT1,19.72508142,Pass
D0_M3_mes_16_nv,IL17A,999,Fail
D0_M3_mes_16_nv,IL4R,19.85666653,Pass
D0_M3_mes_16_nv,MSC,999,Fail
D0_M3_mes_16_nv,PRDM1,999,Fail
D0_M3_mes_16_nv,SMAD7,17.98325495,Pass
D0_M3_mes_16_nv,UBC,16.92121396,Pass
D0_M3_mes_16_nv,ATF3,999,Fail
D0_M3_mes_16_nv,KIT,999,Fail
D0_M3_mes_16_nv,CD44,999,Fail
D0_M3_mes_16_nv,CXCR3,999,Fail
D0_M3_mes_16_nv,FOXP1,999,Fail
D0_M3_mes_16_nv,ICOS,21.08426039,Fail
D0_M3_mes_16_nv,IL2,999,Fail
D0_M3_mes_16_nv,IL5,999,Fail
D0_M3_mes_16_nv,MYB,999,Fail
D0_M3_mes_16_nv,PTGIR,999,Fail
D0_M3_mes_16_nv,TBX21,999,Fail
D0_M3_mes_16_nv,VDR,999,Fail
D0_M3_mes_16_nv,IFNG,999,Fail
D0_M3_mes_16_nv,FOXP3,999,Fail
D0_M3_mes_16_nv,CXCR5,999,Fail
D0_M3_mes_16_nv,PTPRC,16.38958778,Pass
D0_M3_mes_16_nv,ITGAM,999,Fail
D0_M3_mes_16_nv,ATP5A1,25.59634011,Pass
D0_M3_mes_16_nv,VIPR1,999,Fail
D0_M3_mes_16_nv,TCF7,16.08774804,Fail
D0_M3_mes_16_nv,PTH,999,Fail
D0_M3_mes_16_nv,MYCN,999,Fail
D0_M3_mes_16_nv,IL6,999,Fail
D0_M3_mes_16_nv,IL21,999,Fail
D0_M3_mes_16_nv,IFNGR1,19.94791829,Pass
D0_M3_mes_16_nv,FSHB,999,Fail
D0_M3_mes_16_nv,CXCR6,999,Fail
D0_M3_mes_16_nv,NCAM1,999,Fail
D0_M3_mes_16_nv,SELL,17.92878621,Pass
D0_M3_mes_16_nv,ITGAX,999,Fail
D0_M3_mes_16_nv,ZBTB16,999,Fail
D0_M3_mes_16_nv,TCFEC,999,Fail
D0_M3_mes_16_nv,RORA,999,Fail
D0_M3_mes_16_nv,NCF1,999,Fail
D0_M3_mes_16_nv,IL7R,16.53190332,Pass
D0_M3_mes_16_nv,IL23R,999,Fail
D0_M3_mes_16_nv,IL10,999,Fail
D0_M3_mes_16_nv,CD69,999,Fail
D0_M3_mes_16_nv,GATA2,18.15275182,Pass
D0_M3_mes_16_nv,CYP11A1,999,Fail
D0_M3_mes_16_nv,BATF,999,Fail
D0_M3_mes_16_nv,BCL2L11,19.4356948,Pass
D0_M3_mes_16_nv,ZC3H12C,999,Fail
D0_M3_mes_16_nv,TG,999,Fail
D0_M3_mes_16_nv,RORC,999,Fail
D0_M3_mes_16_nv,PHF1,999,Fail
D0_M3_mes_16_nv,IL9,999,Fail
D0_M3_mes_16_nv,IL25R,999,Fail
D0_M3_mes_16_nv,GATA3,16.00865143,Pass
D0_M3_mes_16_nv,IL27RA,19.17292044,Pass
D0_M3_mes_16_nv,E2F8,999,Fail
D0_M3_mes_16_nv,CD19,999,Fail
D0_M3_mes_16_nv,IL2RA,999,Fail
D0_M3_mes_16_nv,BCL2,999,Fail
D0_M3_mes_16_nv,ZFP36,16.43591517,Pass
D0_M3_mes_16_nv,TGFB1,999,Fail
D0_M3_mes_16_nv,RUNX3,18.04679675,Pass
D0_M3_mes_16_nv,POLR2A,19.54190546,Pass
D0_M3_mes_16_nv,IRF8,999,Fail
D0_M3_mes_16_nv,IL12RB2,999,Fail
D0_M3_g_9_nu,ACTN1,999,Fail
D0_M3_g_9_nu,CCR2,999,Fail
D0_M3_g_9_nu,CD33,999,Fail
D0_M3_g_9_nu,CD8A,999,Fail
D0_M3_g_9_nu,EIF2B1,999,Fail
D0_M3_g_9_nu,HBB_B2,999,Fail
D0_M3_g_9_nu,IL13,999,Fail
D0_M3_g_9_nu,IL1RL1_R,999,Fail
D0_M3_g_9_nu,JHM1D,999,Fail
D0_M3_g_9_nu,POU6F1,999,Fail
D0_M3_g_9_nu,SCML4,999,Fail
D0_M3_g_9_nu,TRIB2,999,Fail
D0_M3_g_9_nu,AHR,999,Fail
D0_M3_g_9_nu,CCR5,999,Fail
D0_M3_g_9_nu,CD3E,999,Fail
D0_M3_g_9_nu,CDH17,999,Fail
D0_M3_g_9_nu,EPAS1,999,Fail
D0_M3_g_9_nu,HLX,999,Fail
D0_M3_g_9_nu,IL13RA1,999,Fail
D0_M3_g_9_nu,IL4,999,Fail
D0_M3_g_9_nu,KLRG1,999,Fail
D0_M3_g_9_nu,PPARG,999,Fail
D0_M3_g_9_nu,IL1RL1,999,Fail
D0_M3_g_9_nu,TXK,999,Fail
D0_M3_g_9_nu,ASB2,999,Fail
D0_M3_g_9_nu,CCR8,999,Fail
D0_M3_g_9_nu,CD4,999,Fail
D0_M3_g_9_nu,CTLA4,999,Fail
D0_M3_g_9_nu,FGF18,999,Fail
D0_M3_g_9_nu,HPRT1,999,Fail
D0_M3_g_9_nu,IL17A,999,Fail
D0_M3_g_9_nu,IL4R,999,Fail
D0_M3_g_9_nu,MSC,999,Fail
D0_M3_g_9_nu,PRDM1,999,Fail
D0_M3_g_9_nu,SMAD7,999,Fail
D0_M3_g_9_nu,UBC,999,Fail
D0_M3_g_9_nu,ATF3,999,Fail
D0_M3_g_9_nu,KIT,999,Fail
D0_M3_g_9_nu,CD44,999,Fail
D0_M3_g_9_nu,CXCR3,999,Fail
D0_M3_g_9_nu,FOXP1,999,Fail
D0_M3_g_9_nu,ICOS,999,Fail
D0_M3_g_9_nu,IL2,999,Fail
D0_M3_g_9_nu,IL5,999,Fail
D0_M3_g_9_nu,MYB,999,Fail
D0_M3_g_9_nu,PTGIR,999,Fail
D0_M3_g_9_nu,TBX21,999,Fail
D0_M3_g_9_nu,VDR,18.68116405,Pass
D0_M3_g_9_nu,IFNG,999,Fail
D0_M3_g_9_nu,FOXP3,999,Fail
D0_M3_g_9_nu,CXCR5,999,Fail
D0_M3_g_9_nu,PTPRC,999,Fail
D0_M3_g_9_nu,ITGAM,999,Fail
D0_M3_g_9_nu,ATP5A1,999,Fail
D0_M3_g_9_nu,VIPR1,999,Fail
D0_M3_g_9_nu,TCF7,999,Fail
D0_M3_g_9_nu,PTH,999,Fail
D0_M3_g_9_nu,MYCN,999,Fail
D0_M3_g_9_nu,IL6,999,Fail
D0_M3_g_9_nu,IL21,999,Fail
D0_M3_g_9_nu,IFNGR1,999,Fail
D0_M3_g_9_nu,FSHB,999,Fail
D0_M3_g_9_nu,CXCR6,999,Fail
D0_M3_g_9_nu,NCAM1,999,Fail
D0_M3_g_9_nu,SELL,999,Fail
D0_M3_g_9_nu,ITGAX,999,Fail
D0_M3_g_9_nu,ZBTB16,999,Fail
D0_M3_g_9_nu,TCFEC,999,Fail
D0_M3_g_9_nu,RORA,999,Fail
D0_M3_g_9_nu,NCF1,999,Fail
D0_M3_g_9_nu,IL7R,999,Fail
D0_M3_g_9_nu,IL23R,999,Fail
D0_M3_g_9_nu,IL10,999,Fail
D0_M3_g_9_nu,CD69,999,Fail
D0_M3_g_9_nu,GATA2,15.73968795,Pass
D0_M3_g_9_nu,CYP11A1,999,Fail
D0_M3_g_9_nu,BATF,999,Fail
D0_M3_g_9_nu,BCL2L11,999,Fail
D0_M3_g_9_nu,ZC3H12C,999,Fail
D0_M3_g_9_nu,TG,999,Fail
D0_M3_g_9_nu,RORC,999,Fail
D0_M3_g_9_nu,PHF1,999,Fail
D0_M3_g_9_nu,IL9,999,Fail
D0_M3_g_9_nu,IL25R,999,Fail
D0_M3_g_9_nu,GATA3,999,Fail
D0_M3_g_9_nu,IL27RA,999,Fail
D0_M3_g_9_nu,E2F8,999,Fail
D0_M3_g_9_nu,CD19,999,Fail
D0_M3_g_9_nu,IL2RA,999,Fail
D0_M3_g_9_nu,BCL2,999,Fail
D0_M3_g_9_nu,ZFP36,999,Fail
D0_M3_g_9_nu,TGFB1,999,Fail
D0_M3_g_9_nu,RUNX3,999,Fail
D0_M3_g_9_nu,POLR2A,999,Fail
D0_M3_g_9_nu,IRF8,999,Fail
D0_M3_g_9_nu,IL12RB2,999,Fail
D0_M3_mes_8_nu,ACTN1,17.85880258,Pass
D0_M3_mes_8_nu,CCR2,20.50244156,Pass
D0_M3_mes_8_nu,CD33,999,Fail
D0_M3_mes_8_nu,CD8A,999,Fail
D0_M3_mes_8_nu,EIF2B1,999,Fail
D0_M3_mes_8_nu,HBB_B2,999,Fail
D0_M3_mes_8_nu,IL13,999,Fail
D0_M3_mes_8_nu,IL1RL1_R,999,Fail
D0_M3_mes_8_nu,JHM1D,999,Fail
D0_M3_mes_8_nu,POU6F1,19.26973065,Fail
D0_M3_mes_8_nu,SCML4,999,Fail
D0_M3_mes_8_nu,TRIB2,999,Fail
D0_M3_mes_8_nu,AHR,999,Fail
D0_M3_mes_8_nu,CCR5,20.61920154,Pass
D0_M3_mes_8_nu,CD3E,18.06476961,Pass
D0_M3_mes_8_nu,CDH17,999,Fail
D0_M3_mes_8_nu,EPAS1,999,Fail
D0_M3_mes_8_nu,HLX,999,Fail
D0_M3_mes_8_nu,IL13RA1,999,Fail
D0_M3_mes_8_nu,IL4,999,Fail
D0_M3_mes_8_nu,KLRG1,999,Fail
D0_M3_mes_8_nu,PPARG,999,Fail
D0_M3_mes_8_nu,IL1RL1,999,Fail
D0_M3_mes_8_nu,TXK,17.85080809,Pass
D0_M3_mes_8_nu,ASB2,999,Fail
D0_M3_mes_8_nu,CCR8,999,Fail
D0_M3_mes_8_nu,CD4,999,Fail
D0_M3_mes_8_nu,CTLA4,999,Fail
D0_M3_mes_8_nu,FGF18,999,Fail
D0_M3_mes_8_nu,HPRT1,18.10666051,Pass
D0_M3_mes_8_nu,IL17A,999,Fail
D0_M3_mes_8_nu,IL4R,999,Fail
D0_M3_mes_8_nu,MSC,999,Fail
D0_M3_mes_8_nu,PRDM1,999,Fail
D0_M3_mes_8_nu,SMAD7,999,Fail
D0_M3_mes_8_nu,UBC,15.70710134,Pass
D0_M3_mes_8_nu,ATF3,999,Fail
D0_M3_mes_8_nu,KIT,999,Fail
D0_M3_mes_8_nu,CD44,17.89450217,Pass
D0_M3_mes_8_nu,CXCR3,17.37111172,Pass
D0_M3_mes_8_nu,FOXP1,16.96902264,Pass
D0_M3_mes_8_nu,ICOS,999,Fail
D0_M3_mes_8_nu,IL2,19.19439156,Pass
D0_M3_mes_8_nu,IL5,999,Fail
D0_M3_mes_8_nu,MYB,999,Fail
D0_M3_mes_8_nu,PTGIR,999,Fail
D0_M3_mes_8_nu,TBX21,999,Fail
D0_M3_mes_8_nu,VDR,999,Fail
D0_M3_mes_8_nu,IFNG,999,Fail
D0_M3_mes_8_nu,FOXP3,999,Fail
D0_M3_mes_8_nu,CXCR5,999,Fail
D0_M3_mes_8_nu,PTPRC,15.47376378,Pass
D0_M3_mes_8_nu,ITGAM,999,Fail
D0_M3_mes_8_nu,ATP5A1,17.32785869,Pass
D0_M3_mes_8_nu,VIPR1,999,Fail
D0_M3_mes_8_nu,TCF7,16.2369073,Pass
D0_M3_mes_8_nu,PTH,999,Fail
D0_M3_mes_8_nu,MYCN,999,Fail
D0_M3_mes_8_nu,IL6,999,Fail
D0_M3_mes_8_nu,IL21,999,Fail
D0_M3_mes_8_nu,IFNGR1,15.86553702,Pass
D0_M3_mes_8_nu,FSHB,999,Fail
D0_M3_mes_8_nu,CXCR6,19.28529471,Pass
D0_M3_mes_8_nu,NCAM1,999,Fail
D0_M3_mes_8_nu,SELL,14.50867301,Pass
D0_M3_mes_8_nu,ITGAX,999,Fail
D0_M3_mes_8_nu,ZBTB16,999,Fail
D0_M3_mes_8_nu,TCFEC,999,Fail
D0_M3_mes_8_nu,RORA,999,Fail
D0_M3_mes_8_nu,NCF1,999,Fail
D0_M3_mes_8_nu,IL7R,16.15619771,Pass
D0_M3_mes_8_nu,IL23R,999,Fail
D0_M3_mes_8_nu,IL10,999,Fail
D0_M3_mes_8_nu,CD69,21.91991082,Pass
D0_M3_mes_8_nu,GATA2,999,Fail
D0_M3_mes_8_nu,CYP11A1,999,Fail
D0_M3_mes_8_nu,BATF,19.94823442,Pass
D0_M3_mes_8_nu,BCL2L11,999,Fail
D0_M3_mes_8_nu,ZC3H12C,999,Fail
D0_M3_mes_8_nu,TG,999,Fail
D0_M3_mes_8_nu,RORC,999,Fail
D0_M3_mes_8_nu,PHF1,999,Fail
D0_M3_mes_8_nu,IL9,999,Fail
D0_M3_mes_8_nu,IL25R,999,Fail
D0_M3_mes_8_nu,GATA3,999,Fail
D0_M3_mes_8_nu,IL27RA,19.73138038,Pass
D0_M3_mes_8_nu,E2F8,999,Fail
D0_M3_mes_8_nu,CD19,999,Fail
D0_M3_mes_8_nu,IL2RA,999,Fail
D0_M3_mes_8_nu,BCL2,999,Fail
D0_M3_mes_8_nu,ZFP36,17.59679776,Pass
D0_M3_mes_8_nu,TGFB1,17.37350066,Pass
D0_M3_mes_8_nu,RUNX3,999,Fail
D0_M3_mes_8_nu,POLR2A,19.86657525,Pass
D0_M3_mes_8_nu,IRF8,20.56145653,Pass
D0_M3_mes_8_nu,IL12RB2,999,Fail
D0_M3_g_1_nu,ACTN1,18.61426942,Pass
D0_M3_g_1_nu,CCR2,999,Fail
D0_M3_g_1_nu,CD33,999,Fail
D0_M3_g_1_nu,CD8A,999,Fail
D0_M3_g_1_nu,EIF2B1,17.32737358,Pass
D0_M3_g_1_nu,HBB_B2,999,Fail
D0_M3_g_1_nu,IL13,999,Fail
D0_M3_g_1_nu,IL1RL1_R,999,Fail
D0_M3_g_1_nu,JHM1D,999,Fail
D0_M3_g_1_nu,POU6F1,999,Fail
D0_M3_g_1_nu,SCML4,999,Fail
D0_M3_g_1_nu,TRIB2,999,Fail
D0_M3_g_1_nu,AHR,999,Fail
D0_M3_g_1_nu,CCR5,999,Fail
D0_M3_g_1_nu,CD3E,999,Fail
D0_M3_g_1_nu,CDH17,19.37569019,Pass
D0_M3_g_1_nu,EPAS1,999,Fail
D0_M3_g_1_nu,HLX,999,Fail
D0_M3_g_1_nu,IL13RA1,19.78363829,Pass
D0_M3_g_1_nu,IL4,999,Fail
D0_M3_g_1_nu,KLRG1,999,Fail
D0_M3_g_1_nu,PPARG,999,Fail
D0_M3_g_1_nu,IL1RL1,999,Fail
D0_M3_g_1_nu,TXK,999,Fail
D0_M3_g_1_nu,ASB2,999,Fail
D0_M3_g_1_nu,CCR8,999,Fail
D0_M3_g_1_nu,CD4,999,Fail
D0_M3_g_1_nu,CTLA4,999,Fail
D0_M3_g_1_nu,FGF18,999,Fail
D0_M3_g_1_nu,HPRT1,17.55544157,Pass
D0_M3_g_1_nu,IL17A,999,Fail
D0_M3_g_1_nu,IL4R,999,Fail
D0_M3_g_1_nu,MSC,999,Fail
D0_M3_g_1_nu,PRDM1,999,Fail
D0_M3_g_1_nu,SMAD7,999,Fail
D0_M3_g_1_nu,UBC,14.81987973,Pass
D0_M3_g_1_nu,ATF3,14.78519807,Pass
D0_M3_g_1_nu,KIT,20.40398289,Pass
D0_M3_g_1_nu,CD44,999,Fail
D0_M3_g_1_nu,CXCR3,999,Fail
D0_M3_g_1_nu,FOXP1,999,Fail
D0_M3_g_1_nu,ICOS,999,Fail
D0_M3_g_1_nu,IL2,999,Fail
D0_M3_g_1_nu,IL5,999,Fail
D0_M3_g_1_nu,MYB,999,Fail
D0_M3_g_1_nu,PTGIR,999,Fail
D0_M3_g_1_nu,TBX21,999,Fail
D0_M3_g_1_nu,VDR,999,Fail
D0_M3_g_1_nu,IFNG,999,Fail
D0_M3_g_1_nu,FOXP3,999,Fail
D0_M3_g_1_nu,CXCR5,37.53428234,Fail
D0_M3_g_1_nu,PTPRC,999,Fail
D0_M3_g_1_nu,ITGAM,999,Fail
D0_M3_g_1_nu,ATP5A1,16.4636416,Pass
D0_M3_g_1_nu,VIPR1,999,Fail
D0_M3_g_1_nu,TCF7,999,Fail
D0_M3_g_1_nu,PTH,999,Fail
D0_M3_g_1_nu,MYCN,999,Fail
D0_M3_g_1_nu,IL6,999,Fail
D0_M3_g_1_nu,IL21,999,Fail
D0_M3_g_1_nu,IFNGR1,999,Fail
D0_M3_g_1_nu,FSHB,999,Fail
D0_M3_g_1_nu,CXCR6,999,Fail
D0_M3_g_1_nu,NCAM1,999,Fail
