	Rora cKO-Skin-MC-Treg-Replicate1	Rora cKO-Skin-MC-Treg-Replicate2	Rora cKO-Skin-MC-Treg-Replicate3	Rora cKO-Skin-Treg-Replicate1	Rora cKO-Skin-Treg-Replicate2	Rora cKO-Skin-Treg-Replicate3	WT-LN-Treg-Replicate1	WT-LN-Treg-Replicate2	WT-LN-Treg-Replicate3	WT-Skin-MC-Treg-Replicate1	WT-Skin-MC-Treg-Replicate2	WT-Skin-MC-Treg-Replicate3	WT-Skin-Treg-Replicate1	WT-Skin-Treg-Replicate2	WT-Skin-Treg-Replicate3
Kcnmb1	16	3	2	7	0	0	4	2	27	3	9	3	0	0	2
Kcnmb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnmb3	6	0	1	3	5	5	1	0	2	0	3	5	8	37	3
Kcnmb4	1	7	5	12	34	9	20	36	37	21	26	8	33	16	39
Kcnmb4os1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
Kcnn1	5	4	2	2	3	26	2	2	4	3	17	9	11	3	1
Kcnn2	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0
Kcnn3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Kcnn4	3895	3269	3868	4684	5903	6507	8418	9316	7343	3215	4188	3370	2659	4134	2923
Kcnq1	0	15	5	19	0	0	0	5	0	0	5	0	0	0	0
Kcnq1ot1	1343	1049	710	816	942	1439	1558	1302	2338	1609	1377	968	1033	1602	1364
Kcnq2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Kcnq3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq4	0	0	3	0	0	0	0	1	1	0	1	0	6	0	0
Kcnq5	161	177	77	162	253	137	150	111	239	93	131	107	95	65	63
Kcnrg	12	13	4	18	13	14	10	5	7	12	17	17	20	2	21
Kcns1	2	1	0	1	0	1	4	5	1	3	0	2	0	2	18
Kcns2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcns3	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0
Kcnt1	0	0	0	0	0	9	0	0	1	0	9	0	2	0	0
Kcnt2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Kcnu1	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0
Kcnv1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnv2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Kctd1	11	14	14	2	18	2	54	21	50	16	20	9	28	36	9
Kctd10	2923	2451	2529	3697	4800	5115	2592	2833	2540	3138	3042	3644	4294	2931	3052
Kctd11	198	252	223	92	198	114	35	41	83	447	402	639	123	176	83
Kctd12	843	1675	1273	1461	1529	1622	21	26	117	1218	1512	954	1164	1568	880
Kctd12b	89	149	71	60	32	2	45	61	72	82	26	94	43	0	1
Kctd13	301	146	190	300	191	153	838	874	765	160	232	274	228	245	153
Kctd14	0	10	1	1	4	2	8	20	28	0	15	3	6	3	33
Kctd15	0	0	4	0	19	0	2	3	10	10	11	0	7	0	0
Kctd16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Kctd17	258	230	280	193	149	331	324	368	528	367	439	299	173	80	79
Kctd18	247	259	257	300	280	248	563	614	519	211	264	278	164	124	130
Kctd19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd2	81	160	291	171	396	384	117	96	109	203	392	57	96	155	67
Kctd20	1386	1137	1267	1301	1610	1777	1549	2203	2009	1303	1275	1641	1618	1080	1036
Kctd21	18	42	31	0	0	34	55	73	80	10	35	40	13	0	2
Kctd3	156	196	123	210	218	426	295	361	353	158	272	225	147	249	154
Kctd4	1	10	4	4	0	25	13	3	16	28	1	4	39	38	17
Kctd5	855	961	935	1000	991	1074	1094	1344	1110	1152	1480	1247	1074	679	1060
Kctd6	58	66	107	102	320	178	34	19	27	69	326	44	71	202	64
Kctd7	63	66	54	70	68	97	118	202	229	108	65	70	86	13	31
Kctd8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Kctd9	503	397	589	659	571	875	224	233	326	686	983	564	793	562	545
Kdelc1	396	355	175	244	198	160	411	418	501	364	284	337	153	133	167
Kdelc2	56	79	82	83	53	44	136	115	198	83	25	48	79	66	40
Kdelr1	1386	1541	1145	1313	685	855	1558	2143	1796	1470	1500	1425	984	1023	765
Kdelr2	1907	1601	1577	1857	1159	1990	1209	1494	1754	2120	2191	2152	1415	1753	1292
Kdelr3	84	29	95	59	53	91	13	15	22	131	100	102	67	87	39
Kdf1	1	0	1	8	7	42	7	13	23	3	11	3	23	1	9
Kdm1a	996	1017	1833	2130	2477	2899	522	298	419	1512	2821	654	1297	1605	1253
Kdm1b	400	304	337	461	498	401	871	1021	848	393	544	335	419	317	316
Kdm2a	1423	1208	1342	1042	1544	1694	1343	1385	2044	1439	1279	1651	1392	1255	974
Kdm2b	4145	3309	3580	6933	9212	8681	1217	1151	2363	5223	5439	6197	8836	9123	7832
Kdm3a	2209	1851	1496	1777	2379	2696	1699	1825	1790	2457	2397	3186	2068	1778	1716
Kdm3b	644	690	465	639	491	979	890	982	1213	845	817	797	815	1188	686
Kdm4a	822	649	619	511	441	569	1343	1323	1559	1182	850	1065	617	403	403
Kdm4b	465	688	766	832	1207	1204	737	600	868	901	868	711	1187	1137	659
Kdm4c	790	602	639	556	712	707	1213	1328	1290	766	691	797	770	390	598
Kdm4d	47	33	35	40	3	26	39	44	39	36	20	40	12	31	32
Kdm5a	4888	4444	3966	4513	5201	5910	5058	5571	5188	5330	4870	5105	5154	4433	5166
Kdm5b	1691	1290	1469	1635	2079	2329	1809	1949	2138	1990	1908	1929	2159	2008	1766
Kdm5c	1661	1544	1625	1735	1821	2190	1857	2087	3077	2286	1903	2197	2016	1904	1468
Kdm5d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm6a	1257	989	996	1251	1710	2173	1369	1471	1787	1518	1484	1654	1530	1902	1256
Kdm6b	5501	5006	4580	7551	9803	10791	706	778	1096	7187	7687	5742	8348	14845	8911
Kdm7a	1559	1097	998	1340	1684	1545	1204	1003	1162	1429	1285	1076	1416	1407	817
Kdm8	102	85	70	52	93	78	179	211	139	149	108	70	74	65	41
Kdr	0	0	24	32	2	0	0	0	1	0	0	16	0	11	25
Kdsr	1600	1636	1349	1812	1846	2171	1435	1488	1388	2168	1928	2002	1438	1551	1286
Keap1	792	697	825	671	706	967	2140	2402	2298	1123	1150	1152	722	786	493
Keg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kel	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Kera	0	0	0	6	0	0	0	0	0	2	0	5	0	0	17
Khdc1a	0	0	0	0	0	0	5	25	8	1	0	1	0	0	0
Khdc1b	0	0	5	0	0	4	2	1	0	0	0	0	2	0	0
Khdc1c	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
