fraction,PBS (Teal-),PBS (Teal-),PBS (Teal+),PBS (Teal+),2wk RWP (Teal-),2wk RWP (Teal-),2wk RWP (Teal-),2wk RWP (Teal-),2wks RWP (Teal+),2wks RWP (Teal+),2wks RWP (Teal+),2wks RWP (Teal+),6wks RWP (Teal-),6wks RWP (Teal-),6wks RWP (Teal-),6wks RWP (Teal+),6wks RWP (Teal+),6wks RWP (Teal+)
Foxp3+,5.14,5.2,8.97,12.6,10.6,9.59,6.98,8.66,25.4,17.1,21.4,28,10.5,9.74,7.26,38.2,40.2,41.1
IL13+,0.278,0.102,7.55,1.59,3.35,1.29,1.88,2.72,7.19,8.05,2.99,10.3,3.87,7.86,3.2,11.2,14.9,13.2
