fraction,PBS (Teal-),PBS (Teal-),PBS (Teal+),PBS (Teal+),2wk RWP (Teal-),2wk RWP (Teal-),2wk RWP (Teal-),2wk RWP (Teal-),2wks RWP (Teal+),2wks RWP (Teal+),2wks RWP (Teal+),2wks RWP (Teal+),6wks RWP (Teal-),6wks RWP (Teal-),6wks RWP (Teal-),6wks RWP (Teal+),6wks RWP (Teal+),6wks RWP (Teal+)
Foxp3+,6.31,5.59,12.6,21,3.95,16.7,3.38,2.99,20,5.19,20.4,22.4,7.15,4.98,3.72,38.7,42,38
IL13+,0.014,0.0107,4.2,0.368,0.185,0,0.243,0.175,5.39,0,1.19,4.73,0.254,0.523,0.193,1.41,7.46,4.45
