"","well","treatment","libraryid","plate","libraryname","mouse","total_reads","gene_count","filename1","filename2"
"284","F8","rmIL2b",356,4,"samp_356",4,261750.177158908,261750,"s356_S356_L001_R1_001.fastq.gz","s356_S356_L002_R1_001.fastq.gz"
"286","F9","21",357,4,"samp_357",4,236724.955212027,236724,"s357_S357_L001_R1_001.fastq.gz","s357_S357_L002_R1_001.fastq.gz"
"248","F10","22",358,4,"samp_358",4,275776.483752377,275776,"s358_S358_L001_R1_001.fastq.gz","s358_S358_L002_R1_001.fastq.gz"
"308","G2","wt",362,4,"samp_362",4,252816.472672554,252816,"s362_S362_L001_R1_001.fastq.gz","s362_S362_L002_R1_001.fastq.gz"
"309","G3","wt",363,4,"samp_363",4,232387.926142938,232387,"s363_S363_L001_R1_001.fastq.gz","s363_S363_L002_R1_001.fastq.gz"
"314","G4","wt",364,4,"samp_364",4,336504.749250922,336504,"s364_S364_L001_R1_001.fastq.gz","s364_S364_L002_R1_001.fastq.gz"
"317","G5","danazol",365,4,"samp_365",4,276141.535289401,276141,"s365_S365_L001_R1_001.fastq.gz","s365_S365_L002_R1_001.fastq.gz"
"322","G6","TSLP",366,4,"samp_366",4,197460.661957384,197460,"s366_S366_L001_R1_001.fastq.gz","s366_S366_L002_R1_001.fastq.gz"
"328","G7","mouse_TGFb1",367,4,"samp_367",4,190097.041873567,190097,"s367_S367_L001_R1_001.fastq.gz","s367_S367_L002_R1_001.fastq.gz"
"331","G8","rmTGFb",368,4,"samp_368",4,216027.25731818,216027,"s368_S368_L001_R1_001.fastq.gz","s368_S368_L002_R1_001.fastq.gz"
"335","G9","our_TGFb",369,4,"samp_369",4,243131.386149608,243131,"s369_S369_L001_R1_001.fastq.gz","s369_S369_L002_R1_001.fastq.gz"
"295","G10","our_IL2",370,4,"samp_370",4,212467.144083867,212467,"s370_S370_L001_R1_001.fastq.gz","s370_S370_L002_R1_001.fastq.gz"
"337","H1","mCCL4",373,4,"samp_373",1,221969.534439763,221969,"s373_S373_L001_R1_001.fastq.gz","s373_S373_L002_R1_001.fastq.gz"
"354","H2","Estrogen_17a",374,4,"samp_374",1,209224.693283207,209224,"s374_S374_L001_R1_001.fastq.gz","s374_S374_L002_R1_001.fastq.gz"
"357","H3","wt",375,4,"samp_375",1,206785.267667852,206785,"s375_S375_L001_R1_001.fastq.gz","s375_S375_L002_R1_001.fastq.gz"
"361","H4","mCCL4",376,4,"samp_376",2,232257.381535062,232257,"s376_S376_L001_R1_001.fastq.gz","s376_S376_L002_R1_001.fastq.gz"
"368","H5","Estrogen_17a",377,4,"samp_377",2,150602.514672084,150602,"s377_S377_L001_R1_001.fastq.gz","s377_S377_L002_R1_001.fastq.gz"
"375","H7","mCCL4",379,4,"samp_379",3,189897.290605129,189897,"s379_S379_L001_R1_001.fastq.gz","s379_S379_L002_R1_001.fastq.gz"
"377","H8","Estrogen_17a",380,4,"samp_380",3,212517.258610261,212517,"s380_S380_L001_R1_001.fastq.gz","s380_S380_L002_R1_001.fastq.gz"
"352","H12","wt",384,4,"samp_384",4,358162.529063545,358162,"s384_S384_L001_R1_001.fastq.gz","s384_S384_L002_R1_001.fastq.gz"
